Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
993,MH_12,COUNTRY,LTU,EUR,Europe,YEAR,2012,SEX,SEX_MLE,,,,,,,52.3 [46.4-58.8],52.3343,46.3806,58.7678,,2021-02-09T16:55:57Z,2012,2012-01-01,2012-12-31
1212,MH_12,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2010,SEX,SEX_MLE,,,,,,,3.0 [2.2-4.1],3,2.15,4.09,,2021-02-09T16:50:29Z,2010,2010-01-01,2010-12-31
1587,MH_12,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2001,SEX,SEX_MLE,,,,,,,3.0 [2.1-4.2],3.02,2.13,4.19,,2021-02-09T17:16:29Z,2001,2001-01-01,2001-12-31
3189,MH_12,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2011,SEX,SEX_FMLE,,,,,,,2.0 [1.0-3.5],2.03,1.01,3.54,,2021-02-09T17:19:39Z,2011,2011-01-01,2011-12-31
4047,MH_12,COUNTRY,BRB,AMR,Americas,YEAR,2007,SEX,SEX_FMLE,,,,,,,0.2 [0.1-0.2],0.151,0.114,0.198,,2021-02-09T16:28:47Z,2007,2007-01-01,2007-12-31
6719,MH_12,COUNTRY,TKM,EUR,Europe,YEAR,2001,SEX,SEX_FMLE,,,,,,,5.0 [4.0-6.1],4.95,3.96,6.1,,2021-02-09T17:18:18Z,2001,2001-01-01,2001-12-31
7317,MH_12,COUNTRY,CHL,AMR,Americas,YEAR,2010,SEX,SEX_FMLE,,,,,,,4.2 [3.6-4.9],4.22,3.61,4.88,,2021-02-09T16:31:22Z,2010,2010-01-01,2010-12-31
7608,MH_12,COUNTRY,TCD,AFR,Africa,YEAR,2019,SEX,SEX_BTSX,,,,,,,13.2 [7.5-21.5],13.2237,7.54,21.5442,,2021-02-09T17:16:50Z,2019,2019-01-01,2019-12-31
8434,MH_12,REGION,EMR,,,YEAR,2008,SEX,SEX_MLE,,,,,,,9.7 [4.9-17.0],9.66,4.91,17.0492,,2021-02-09T17:25:32Z,2008,2008-01-01,2008-12-31
9729,MH_12,COUNTRY,AGO,AFR,Africa,YEAR,2017,SEX,SEX_MLE,,,,,,,21.0 [13.2-31.9],21.0373,13.1717,31.8603,,2021-02-09T16:20:25Z,2017,2017-01-01,2017-12-31
