Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
804,WHOSIS_000001,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2008,SEX,SEX_MLE,,,,,,,48.0 [46.7-49.6],48.03754,46.71678,49.62846,,2024-08-02T09:43:39Z,2008,2008-01-01,2008-12-31
978,WHOSIS_000001,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2002,SEX,SEX_BTSX,,,,,,,67.8 [67.1-68.6],67.84567,67.08312,68.55874,,2024-08-02T09:43:39Z,2002,2002-01-01,2002-12-31
3354,WHOSIS_000001,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2011,SEX,SEX_FMLE,,,,,,,75.2 [75.1-75.4],75.20536,75.05048,75.38518,,2024-08-02T09:43:39Z,2011,2011-01-01,2011-12-31
6414,WHOSIS_000001,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2005,SEX,SEX_FMLE,,,,,,,73.1 [72.8-73.5],73.12227,72.80645,73.47895,,2024-08-02T09:43:39Z,2005,2005-01-01,2005-12-31
6673,WHOSIS_000001,COUNTRY,CYP,EUR,Europe,YEAR,2003,SEX,SEX_MLE,,,,,,,76.9 [76.7-77.2],76.86013,76.67124,77.16348,,2024-08-02T09:43:39Z,2003,2003-01-01,2003-12-31
6962,WHOSIS_000001,COUNTRY,DNK,EUR,Europe,YEAR,2014,SEX,SEX_MLE,,,,,,,78.6 [78.6-78.7],78.61687,78.59348,78.70575,,2024-08-02T09:43:39Z,2014,2014-01-01,2014-12-31
8165,WHOSIS_000001,COUNTRY,PHL,WPR,Western Pacific,YEAR,2007,SEX,SEX_BTSX,,,,,,,69.6 [69.3-70.0],69.58191,69.27042,69.99117,,2024-08-02T09:43:39Z,2007,2007-01-01,2007-12-31
8664,WHOSIS_000001,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2020,SEX,SEX_FMLE,,,,,,,73.9 [73.3-74.4],73.86985,73.33215,74.427,,2024-08-02T09:43:39Z,2020,2020-01-01,2020-12-31
9589,WHOSIS_000001,COUNTRY,WSM,WPR,Western Pacific,YEAR,2004,SEX,SEX_FMLE,,,,,,,72.1 [71.6-72.7],72.08096,71.56648,72.73082,,2024-08-02T09:43:39Z,2004,2004-01-01,2004-12-31
10826,WHOSIS_000001,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2014,SEX,SEX_MLE,,,,,,,78.4 [78.0-78.9],78.39097,77.97735,78.89185,,2024-08-02T09:43:39Z,2014,2014-01-01,2014-12-31
12080,WHOSIS_000001,COUNTRY,URY,AMR,Americas,YEAR,2015,SEX,SEX_BTSX,,,,,,,77.1 [77.1-77.2],77.09925,77.05356,77.20308,,2024-08-02T09:43:39Z,2015,2015-01-01,2015-12-31
12082,WHOSIS_000001,COUNTRY,DNK,EUR,Europe,YEAR,2020,SEX,SEX_FMLE,,,,,,,83.2 [83.1-83.3],83.16167,83.13841,83.25734,,2024-08-02T09:43:39Z,2020,2020-01-01,2020-12-31
12130,WHOSIS_000001,COUNTRY,PRI,AMR,Americas,YEAR,2020,SEX,SEX_MLE,,,,,,,76.1 [76.1-76.3],76.1409,76.05103,76.30636,,2024-08-02T09:43:39Z,2020,2020-01-01,2020-12-31
13185,WHOSIS_000001,COUNTRY,GHA,AFR,Africa,YEAR,2005,SEX,SEX_MLE,,,,,,,58.3 [57.7-59.0],58.29583,57.73965,59.00903,,2024-08-02T09:43:39Z,2005,2005-01-01,2005-12-31
13941,WHOSIS_000001,COUNTRY,TON,WPR,Western Pacific,YEAR,2019,SEX,SEX_BTSX,,,,,,,72.9 [72.4-73.6],72.94213,72.39304,73.64425,,2024-08-02T09:43:39Z,2019,2019-01-01,2019-12-31
15424,WHOSIS_000001,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2009,SEX,SEX_FMLE,,,,,,,76.6 [76.2-76.9],76.55739,76.24833,76.90902,,2024-08-02T09:43:39Z,2009,2009-01-01,2009-12-31
15613,WHOSIS_000001,COUNTRY,TUR,EUR,Europe,YEAR,2012,SEX,SEX_MLE,,,,,,,73.8 [73.4-74.2],73.77355,73.3527,74.18742,,2024-08-02T09:43:39Z,2012,2012-01-01,2012-12-31
16415,WHOSIS_000001,COUNTRY,BRA,AMR,Americas,YEAR,2003,SEX,SEX_BTSX,,,,,,,72.3 [72.0-72.6],72.30491,72.02894,72.58864,,2024-08-02T09:43:39Z,2003,2003-01-01,2003-12-31
16503,WHOSIS_000001,COUNTRY,FJI,WPR,Western Pacific,YEAR,2006,SEX,SEX_BTSX,,,,,,,67.1 [66.8-67.4],67.0807,66.83476,67.36102,,2024-08-02T09:43:39Z,2006,2006-01-01,2006-12-31
17301,WHOSIS_000001,COUNTRY,NIC,AMR,Americas,YEAR,2020,SEX,SEX_MLE,,,,,,,71.7 [71.4-72.1],71.71241,71.3989,72.07787,,2024-08-02T09:43:39Z,2020,2020-01-01,2020-12-31
18212,WHOSIS_000001,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2003,SEX,SEX_MLE,,,,,,,65.7 [64.9-66.6],65.68954,64.89439,66.62662,,2024-08-02T09:43:39Z,2003,2003-01-01,2003-12-31
19340,WHOSIS_000001,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2017,SEX,SEX_MLE,,,,,,,72.1 [71.5-72.9],72.08322,71.46217,72.8917,,2024-08-02T09:43:39Z,2017,2017-01-01,2017-12-31
19493,WHOSIS_000001,COUNTRY,TON,WPR,Western Pacific,YEAR,2016,SEX,SEX_BTSX,,,,,,,72.6 [71.9-73.2],72.56033,71.92826,73.19726,,2024-08-02T09:43:39Z,2016,2016-01-01,2016-12-31
19528,WHOSIS_000001,COUNTRY,SWE,EUR,Europe,YEAR,2016,SEX,SEX_MLE,,,,,,,80.4 [80.4-80.4],80.36714,80.36303,80.44719,,2024-08-02T09:43:39Z,2016,2016-01-01,2016-12-31
20327,WHOSIS_000001,GLOBAL,GLOBAL,,,YEAR,2015,SEX,SEX_BTSX,,,,,,,72.2 [71.7-72.7],72.18569,71.71226,72.66886,,2024-08-02T09:43:39Z,2015,2015-01-01,2015-12-31
21210,WHOSIS_000001,COUNTRY,AUS,WPR,Western Pacific,YEAR,2006,SEX,SEX_BTSX,,,,,,,81.0 [81.0-81.1],81.04245,81.03701,81.11609,,2024-08-02T09:43:39Z,2006,2006-01-01,2006-12-31
21436,WHOSIS_000001,COUNTRY,ISL,EUR,Europe,YEAR,2005,SEX,SEX_BTSX,,,,,,,80.9 [80.8-81.1],80.90304,80.80184,81.10646,,2024-08-02T09:43:39Z,2005,2005-01-01,2005-12-31
21442,WHOSIS_000001,COUNTRY,COD,AFR,Africa,YEAR,2018,SEX,SEX_FMLE,,,,,,,63.6 [62.7-64.6],63.60932,62.6863,64.59326,,2024-08-02T09:43:39Z,2018,2018-01-01,2018-12-31
22585,WHOSIS_000001,COUNTRY,FSM,WPR,Western Pacific,YEAR,2001,SEX,SEX_BTSX,,,,,,,63.8 [63.2-64.5],63.81961,63.1802,64.49686,,2024-08-02T09:43:39Z,2001,2001-01-01,2001-12-31
22648,WHOSIS_000001,COUNTRY,NGA,AFR,Africa,YEAR,2018,SEX,SEX_MLE,,,,,,,61.3 [60.1-62.4],61.26092,60.11077,62.42374,,2024-08-02T09:43:39Z,2018,2018-01-01,2018-12-31
22995,WHOSIS_000001,COUNTRY,KEN,AFR,Africa,YEAR,2007,SEX,SEX_BTSX,,,,,,,58.6 [57.7-59.2],58.55064,57.73834,59.23246,,2024-08-02T09:43:39Z,2007,2007-01-01,2007-12-31
23081,WHOSIS_000001,COUNTRY,ATG,AMR,Americas,YEAR,2016,SEX,SEX_BTSX,,,,,,,75.5 [75.3-75.9],75.54813,75.2612,75.85073,,2024-08-02T09:43:39Z,2016,2016-01-01,2016-12-31
25238,WHOSIS_000001,COUNTRY,BWA,AFR,Africa,YEAR,2005,SEX,SEX_MLE,,,,,,,50.8 [49.6-52.2],50.847,49.64729,52.20969,,2024-08-02T09:43:39Z,2005,2005-01-01,2005-12-31
25251,WHOSIS_000001,COUNTRY,CYP,EUR,Europe,YEAR,2004,SEX,SEX_FMLE,,,,,,,81.5 [81.3-81.8],81.505,81.336,81.76925,,2024-08-02T09:43:39Z,2004,2004-01-01,2004-12-31
25647,WHOSIS_000001,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2013,SEX,SEX_FMLE,,,,,,,79.1 [78.5-80.0],79.10734,78.48657,79.95493,,2024-08-02T09:43:39Z,2013,2013-01-01,2013-12-31
26807,WHOSIS_000001,COUNTRY,CZE,EUR,Europe,YEAR,2017,SEX,SEX_FMLE,,,,,,,81.7 [81.7-81.8],81.69093,81.65996,81.80088,,2024-08-02T09:43:39Z,2017,2017-01-01,2017-12-31
28329,WHOSIS_000001,COUNTRY,PNG,WPR,Western Pacific,YEAR,2011,SEX,SEX_BTSX,,,,,,,65.0 [64.3-65.9],65.03279,64.3239,65.91542,,2024-08-02T09:43:39Z,2011,2011-01-01,2011-12-31
28873,WHOSIS_000001,COUNTRY,FRA,EUR,Europe,YEAR,2012,SEX,SEX_FMLE,,,,,,,84.5 [84.5-84.6],84.52986,84.47186,84.58787,,2024-08-02T09:43:39Z,2012,2012-01-01,2012-12-31
28881,WHOSIS_000001,COUNTRY,ESP,EUR,Europe,YEAR,2016,SEX,SEX_MLE,,,,,,,80.0 [80.0-80.1],80.04204,79.98195,80.10214,,2024-08-02T09:43:39Z,2016,2016-01-01,2016-12-31
